,id,name,location,coordinates,num_reviews,cuisine,timestamp,rating,recommend
16,B_kcyXzmkJlFI9pSl7PHvw,Restaurant Ukiyo,"{'address1': '239 E 5th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['239 E 5th St', 'New York, NY 10003']}","{'latitude': 40.72699, 'longitude': -73.98922}",54,japanese,2019-04-26 20:49:42.147106,5.0,0
17,FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,"{'address1': '360 W 42nd Street', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['360 W 42nd Street', 'New York, NY 10036']}","{'latitude': 40.7582902125633, 'longitude': -73.9925113993899}",382,chinese,2019-04-26 20:28:15.915413,4.0,1
18,uR-MqserQgPRQK3aiP6WyQ,Tokyo Ya,"{'address1': '5603 7th Ave', 'address2': '', 'address3': '', 'city': 'Sunset Park', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['5603 7th Ave', 'Sunset Park, NY 11220']}","{'latitude': 40.63888, 'longitude': -74.00941}",74,japanese,2019-04-26 20:51:01.367590,3.5,0
19,uVfOB37NyYEGRs5FITM-nQ,Leyenda,"{'address1': '221 Smith St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['221 Smith St', 'Brooklyn, NY 11201']}","{'latitude': 40.68431, 'longitude': -73.99197}",186,mexican,2019-04-26 20:41:33.951434,4.0,0
20,EZHEA7QR_9WFeCJhbjK73Q,Cadillac Cantina,"{'address1': '80 River St', 'address2': '', 'address3': '', 'city': 'Hoboken', 'zip_code': '07030', 'country': 'US', 'state': 'NJ', 'display_address': ['80 River St', 'Hoboken, NJ 07030']}","{'latitude': 40.7362168298531, 'longitude': -74.0293640841882}",198,mexican,2019-04-26 20:42:45.782600,3.0,0
21,WbZhH2j8i3GhNsOsviM1VQ,Bonchon - Jersey City,"{'address1': '172 Newark Ave', 'address2': '', 'address3': '', 'city': 'Jersey City', 'zip_code': '07302', 'country': 'US', 'state': 'NJ', 'display_address': ['172 Newark Ave', 'Jersey City, NJ 07302']}","{'latitude': 40.72137, 'longitude': -74.045}",228,korean,2019-04-26 20:33:41.030320,3.0,0
22,8Gg_SoA5TA7pLNB-xuPhPw,Mexikosher,"{'address1': '100 W 83rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['100 W 83rd St', 'New York, NY 10024']}","{'latitude': 40.78458, 'longitude': -73.97393}",71,mexican,2019-04-26 20:42:26.548135,3.5,0
23,6uIOYlN8xkokcVBD_oDFBw,Dan and John's Wings,"{'address1': '135 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['135 1st Ave', 'New York, NY 10003']}","{'latitude': 40.7278557, 'longitude': -73.9853134}",315,indian,2019-04-26 20:32:18.156520,4.5,1
24,xlv_CcDXH1hkG4Wq5mECkQ,Vamos Al Tequila,"{'address1': '162 Franklin St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['162 Franklin St', 'Brooklyn, NY 11222']}","{'latitude': 40.73079, 'longitude': -73.95753}",267,mexican,2019-04-26 20:42:09.766521,3.5,1
25,D1V7ZadUtUPuYYlpDA1BOQ,Sakura Of Japan,"{'address1': '570 8th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['570 8th Ave', 'New York, NY 10018']}","{'latitude': 40.75472, 'longitude': -73.99129}",25,japanese,2019-04-26 20:51:10.049000,4.0,0
26,Ry9w-jFALWYhazi6jjyIKw,Rucola,"{'address1': '190 Dean St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['190 Dean St', 'Brooklyn, NY 11217']}","{'latitude': 40.68562, 'longitude': -73.98587}",453,italian,2019-04-26 20:44:46.411830,4.0,1
27,yKPRuBvD3ScCc18QrZ4Y6w,El Porton Mexican Restaurant Bar,"{'address1': '3151 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['3151 Broadway', 'New York, NY 10027']}","{'latitude': 40.81452, 'longitude': -73.95966}",159,mexican,2019-04-26 20:42:13.681244,3.5,0
28,pqebqpVTT8bR_s9iEu8dOA,Curry-Ya,"{'address1': '214 E 10th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['214 E 10th St', 'New York, NY 10003']}","{'latitude': 40.72922, 'longitude': -73.98604}",695,japanese,2019-04-26 20:49:56.637082,4.0,1
29,HDoJIH-qW9FqJ5WB-bKTqA,MIGHTY Bowl,"{'address1': '1109 Lexington Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1109 Lexington Ave', 'New York, NY 10075']}","{'latitude': 40.7738, 'longitude': -73.95945}",61,japanese,2019-04-26 20:50:04.144186,4.5,0
30,FgRJsieXorHgI-2XzGxh5A,Nikko Hibachi,"{'address1': '177-21 Union Tpke', 'address2': '', 'address3': '', 'city': 'Fresh Meadows', 'zip_code': '11366', 'country': 'US', 'state': 'NY', 'display_address': ['177-21 Union Tpke', 'Fresh Meadows, NY 11366']}","{'latitude': 40.7262971, 'longitude': -73.7906424}",312,japanese,2019-04-26 20:50:32.237442,3.5,1
31,1fVp9c5Vw04ig171a_juRw,U Like,"{'address1': '602 Marcy Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['602 Marcy Ave', 'Brooklyn, NY 11206']}","{'latitude': 40.694007, 'longitude': -73.949259}",40,chinese,2019-04-26 20:28:26.895913,4.5,0
32,MSVftNJ5lwPK9TQtHayaPQ,Suzuki,"{'address1': '114 W 47th St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['114 W 47th St', 'New York, NY 10036']}","{'latitude': 40.7582797854234, 'longitude': -73.9827184029637}",111,japanese,2019-04-26 20:50:36.391135,4.0,0
33,xbrQ2dHuQoFJmNxAuOky4A,Vic's,"{'address1': '31 Great Jones St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['31 Great Jones St', 'New York, NY 10012']}","{'latitude': 40.72693, 'longitude': -73.99319}",399,italian,2019-04-26 20:44:37.559598,4.0,1
